University Name,Total Students,International Students,Total Staffs
Indian Institute of Technology Patna,2524.0,13.0,137.0
Université Pierre et Marie Curie (UPMC),41742.0,8714.0,4543.0
Khemis Miliana University,,,
Universiti Kebangsaan Malaysia (UKM),17037.0,5114.0,2556.0
O.S. Popov Odessa National Academy of Telecommunications,3414.0,128.0,299.0
Goethe University Frankfurt,,,
Universidade de Caxias do Sul ,15400.0,,655.0
Harbour.Space University,,,
Salzburg Urstein Institut,,,
University of Lethbridge,,,
Hartpury University and College,,,
Ulsan National Institute of Science and Technology (UNIST),3722.0,340.0,634.0
Centennial College,,,
Jawaharlal Nehru University,9737.0,122.0,606.0
Universidade Federal dos Vales do Jequitinhonha e Mucuri ,7540.0,,793.0
American Graduate School of Business,,,
Sechenov University,16365.0,4083.0,2009.0
Academy of Performing Arts in Prague,,,
Unit Quality Management and Reporting,,,
"Siberian Federal University, SibFU",9306.0,1507.0,985.0
Pavol Jozef Šafárik University in Košice,7061.0,1722.0,838.0
State University of Medan,0.0,0.0,0.0
Princeton University,8393.0,1912.0,1070.0
University of Bridgeport,,,
ASU Polytechnic Campus,,,
Birzeit university,11900.0,563.0,580.0
Charité - Universitätsmedizin Berlin,,,
SUNY Cobleskill,,,
University of Trieste,17446.0,1266.0,779.0
University of Zululand,15077.0,93.0,283.0
University of Texas at Austin,49410.0,4534.0,3045.0
University of Glamorgan,,,
Dallas Baptist University,,,
"ENSCP Chimie, ParisTech",,,
Ono Academic College,,,
Universidad Norbert Wiener,20937.0,72.0,627.0
Johns Hopkins University,16260.0,6092.0,4880.0
Middle East University Jordan,3754.0,941.0,181.0
Central Queensland University - School of Business and Law,,,
Charles University,50918.0,10811.0,5026.0
Suez Canal University,47124.0,788.0,3535.0
Vologda State University,,,
Mahidol University,28605.0,1554.0,4067.0
Regent University ,,,
Kazakh Ablai Khan University of International Relations and World Languages,5508.0,264.0,684.0
National Taiwan Ocean University,8222.0,599.0,556.0
"École Supérieure de Commerce, ESC Saint-Etienne",,,
SAMARA STATE UNIVERSITY OF ECONOMICS,4279.0,186.0,388.0
National Research University Moscow Power Engineering Institute (MPEI),10796.0,2129.0,734.0
Western Illinois University,,,
Kalasalingam Academy of Research and Education,8049.0,2.0,596.0
Galatasaray University,3520.0,26.0,316.0
École Normale Supérieure Lettres et Sciences Humaines,,,
Alasmarya Islamic University,,,
Xinjiang University,26983.0,826.0,1698.0
CETYS Universidad,,,
McMaster University - DeGroote School of Business,,,
Indian Institute of Technology Bombay (IITB),12702.0,102.0,773.0
Université Montpellier 1,,,
Ahfad University for Women,0.0,0.0,0.0
Kastamonu University,19766.0,3063.0,844.0
IHS - Institute for Housing and Urban Development Studies,,,
Universidad del Sagrado Corazón,,,
Universidad Catolica Boliviana San Pablo,,,
The University of Newcastle Australia - Newcastle University Business School,,,
Universidade Federal de Itajubá,7658.0,104.0,491.0
Mindanao State University ,59615.0,0.0,2177.0
Grinnell College,,,
University of Ain Temouchent,,,
Universidade Federal de Pelotas ,15474.0,131.0,1402.0
Vancouver Island University,7150.0,,2499.0
Wichita State University,,,
Swiss Graduate School of Public Administration (IDHEAP),,,
National University ,5489.0,371.0,467.0
Panteion University of Social and Political Sciences,,,
"University of Liege, Rectorat",,,
Kagawa University,,,
Centennial College,,,
University Center of Barika,,,
"University of California, Riverside, A. Gary Anderson Graduate School of Management",,,
Harokopio University of Athens,,,
"California State University, Monterey Bay",,,
AgroParisTech,,,
National Defense University (NDU),,,
ESIC Business & Marketing School,,,
Kumaun University,11064.0,,255.0
Near East University,,,
Sunchon National University ,7731.0,136.0,507.0
Al-Esraa University,,,
Ulyanovsk State University,641.0,22.0,1317.0
National University of Pharmacy (Kharkiv),12091.0,2051.0,2500.0
Kenzhegali Sagadiyev University of International Business,,,
EPOKA University,2251.0,64.0,94.0
"ESB Business School, Reutlingen University",,,
Sang Ji University ,,,
University of Kurdistan,11859.0,489.0,530.0
Philippine Normal University,,,
Riyadh Colleges of Dentistry and Pharmacy,,,
Arab Open University - Kuwait,9139.0,5810.0,92.0
Curtis Institute of Music,,,
New Vision University,,,
UC Berkeley Master of Engineering,,,
Fielding Graduate University,,,
ESC Clermont Business School,,,
