University Name,Total Students,International Students,Total Staffs
Indiana University of Pennsylvania,,,
Escuela Superior de Administracion Pública (ESAP),12403.0,,646.0
National Cheng Kung University (NCKU),21896.0,2461.0,2090.0
University of Basel,8536.0,2647.0,1064.0
GITAM University,23730.0,252.0,1708.0
University of Salford,21148.0,5665.0,1171.0
SeoKyeong University ,6693.0,304.0,416.0
Padang State Polytechnic,,,
Universitas Muhammadiyah Yogyakarta,20823.0,398.0,780.0
Southern New Hampshire University,,,
DePaul University,,,
St. Ambrose University,,,
Urmia University,14999.0,,555.0
Academy of Performing Arts in Prague,,,
Goethe-University Frankfurt am Main,32823.0,4787.0,2734.0
Universidad Americana (Costa Rica) (UAM),,,
Université de Montpellier,41048.0,6769.0,2526.0
Preston University Kohat,,,
Université catholique de Louvain (UCLouvain),28105.0,5146.0,1310.0
University of Minnesota Twin Cities,53720.0,4391.0,4922.0
Universidad de Málaga,,,
Fundació Politècnica de Catalunya,,,
Academy of Art University,,,
Bowdoin College,,,
Apex University,,,
Ted Rogers School of Management - Toronto Metropolitan University,,,
Taylor University,,,
Kristianstad University ,,,
Nusa Putra University,,,
University of East Anglia - Norwich Business School,,,
"Fanhai International School of Finance, Fudan University",,,
Graduate School of Education,,,
University of Canberra,11033.0,2551.0,362.0
Haute Ecole d'art et de design de Genève (HEAD),,,
Universidade Federal do Maranhão,25868.0,,1836.0
Université Lille 2 Droit et Santé,28152.0,2391.0,982.0
Government College University Lahore,9103.0,109.0,601.0
Transylvania University,,,
Universidade Luterana do Brasil ,36162.0,5.0,0.0
South Kazakhstan State Pedagogical University,,,
Alfred University,,,
University of Laghouat,29179.0,95.0,1038.0
School of Visual Arts (SVA),,,
Universität der Künste Berlin,,,
University ,,,
UQ Business School,,,
Universidad Autónoma del Estado de México (UAEMex),71521.0,227.0,3495.0
Novancia Business School Paris,,,
Technological University Dublin,20910.0,3844.0,1466.0
Pacifico Business School,,,
Hong Kong Academy for Performing Arts,,,
National University of Music Bucharest,,,
University of Karachi,44969.0,78.0,1063.0
Southern New Hampshire University,,,
Damietta University,35481.0,150.0,1530.0
Arab American University,10919.0,3314.0,514.0
University of the Basque Country,35397.0,1502.0,3488.0
China University of Political Science and Law,17222.0,195.0,1038.0
School of Visual Arts (SVA),,,
Haute école de musique de Genève,,,
