No.,University,URL
6,Universidad de Belgrano,https://www.topuniversities.com/universities/universidad-de-belgrano
7,Universidad Nacional Pedro Henriquez Urea (UNPHU),https://www.topuniversities.com/universities/universidad-nacional-pedro-henriquez-urea-unphu
8,Aarhus University,https://www.topuniversities.com/universities/aarhus-university
9,SRH Fernhochschule – The Distance Learning University,https://www.topuniversities.com/universities/srh-fernhochschule-distance-learning-university
10,Southern University of Science and Technology (SUSTech),https://www.topuniversities.com/universities/southern-university-science-technology-sustech
1,American University of the Middle East,https://www.topuniversities.com/universities/american-university-middle-east
2,Universitat Autònoma de Barcelona,https://www.topuniversities.com/universities/universitat-autonoma-de-barcelona
3,Cavite State University,https://www.topuniversities.com/universities/cavite-state-university
4,Taylor's University,https://www.topuniversities.com/universities/taylors-university
5,University of Debrecen,https://www.topuniversities.com/universities/university-debrecen
6,Bangor University,https://www.topuniversities.com/universities/bangor-university
7,"IE School of Politics, Economics & Global Affairs",https://www.topuniversities.com/universities/ie-university/ie-school-politics-economics-global-affairs
8,Al-Azhar University,https://www.topuniversities.com/universities/al-azhar-university
9,Durham University Business School,https://www.topuniversities.com/universities/durham-university-business-school
10,San Ignacio University,https://www.topuniversities.com/universities/san-ignacio-university
1,Esade,https://www.topuniversities.com/universities/esade
2,Bocconi University,https://www.topuniversities.com/universities/bocconi-university
3,Liverpool School of Tropical Medicine (LSTM),https://www.topuniversities.com/universities/liverpool-school-tropical-medicine-lstm
4,Gies College of Business - University of Illinois Urbana Champaign,https://www.topuniversities.com/universities/university-illinois-urbana-champaign/gies-college-business-university-illinois-urbana-champaign
5,Australian National University (ANU),https://www.topuniversities.com/universities/australian-national-university-anu
6,National Taiwan University of Science and Technology (Taiwan Tech),https://www.topuniversities.com/universities/national-taiwan-university-science-technology-taiwan-tech
7,University of Exeter,https://www.topuniversities.com/universities/university-exeter
8,University of Portsmouth,https://www.topuniversities.com/universities/university-portsmouth
9,Taylor's University,https://www.topuniversities.com/universities/taylors-university
10,Temple University,https://www.topuniversities.com/universities/temple-university
1,Kangwon National University,https://www.topuniversities.com/universities/kangwon-national-university
2,Durham University Business School,https://www.topuniversities.com/universities/durham-university-business-school
3,Universidad Nacional Pedro Henriquez Urea (UNPHU),https://www.topuniversities.com/universities/universidad-nacional-pedro-henriquez-urea-unphu
4,National Kaohsiung University of Hospitality and Tourism (NKUHT),https://www.topuniversities.com/universities/national-kaohsiung-university-hospitality-tourism-nkuht
5,University of Sussex,https://www.topuniversities.com/universities/university-sussex
6,IE School of Science and Technology,https://www.topuniversities.com/universities/ie-university/ie-school-science-technology
7,Foisie Business School,https://www.topuniversities.com/universities/foisie-business-school
8,IMT Nord Europe,https://www.topuniversities.com/universities/imt-nord-europe
9,BI Norwegian Business School,https://www.topuniversities.com/universities/bi-norwegian-business-school
10,Oxford Brookes University,https://www.topuniversities.com/universities/oxford-brookes-university
1,NHH Norwegian School of Economics,https://www.topuniversities.com/universities/nhh-norwegian-school-economics
2,Lund University,https://www.topuniversities.com/universities/lund-university
3,University of Bristol,https://www.topuniversities.com/universities/university-bristol
4,IE Business School,https://www.topuniversities.com/universities/ie-university/ie-business-school
5,Al-Azhar University,https://www.topuniversities.com/universities/al-azhar-university
6,Montpellier Business School,https://www.topuniversities.com/universities/montpellier-business-school
7,ESCP Business School - Torino,https://www.topuniversities.com/universities/escp-business-school-torino
8,School of Foreign Service,https://www.topuniversities.com/universities/georgetown-university/school-foreign-service
9,Al-Farabi Kazakh National University,https://www.topuniversities.com/universities/al-farabi-kazakh-national-university
10,Miami University,https://www.topuniversities.com/universities/miami-university
1,UCAM Universidad Católica San Antonio de Murcia,https://www.topuniversities.com/universities/ucam-universidad-catolica-san-antonio-de-murcia
2,Luiss University,https://www.topuniversities.com/universities/luiss-university
3,Ferrandi Paris,https://www.topuniversities.com/universities/ferrandi-paris
4,Cavite State University,https://www.topuniversities.com/universities/cavite-state-university
5,Sapienza University of Rome,https://www.topuniversities.com/universities/sapienza-university-rome
6,Umm Al-Qura University,https://www.topuniversities.com/universities/umm-al-qura-university
7,NUS Business Analytics Centre,https://www.topuniversities.com/universities/national-university-singapore-nus/nus-business-analytics-centre
8,Nueva Ecija University of Science and Technology,https://www.topuniversities.com/universities/nueva-ecija-university-science-technology
9,Kogod School of Business,https://www.topuniversities.com/universities/american-university/kogod-school-business
10,University College Dublin,https://www.topuniversities.com/universities/university-college-dublin
1,ISCTE Business School,https://www.topuniversities.com/universities/iscte-iul/iscte-business-school
2,Università degli Studi di Pavia,https://www.topuniversities.com/universities/universita-degli-studi-di-pavia
3,University of Navarra,https://www.topuniversities.com/universities/university-navarra
4,Sobey School of Business - Saint Mary's University,https://www.topuniversities.com/universities/saint-marys-university/sobey-school-business-saint-marys-university
5,Bocconi University,https://www.topuniversities.com/universities/bocconi-university
6,Pontificia Universidad Catolica del Peru (PUCP),https://www.topuniversities.com/universities/pontificia-universidad-catolica-del-peru-pucp
7,University of Technology Sydney,https://www.topuniversities.com/universities/university-technology-sydney
8,Universidad del Pacífico,https://www.topuniversities.com/universities/universidad-del-pacifico
9,ESCP Business School - Madrid,https://www.topuniversities.com/universities/escp-business-school-madrid
10,Westminster Business School | University of Westminster,https://www.topuniversities.com/universities/university-westminster/westminster-business-school-university-westminster
1,Duke-NUS Medical School,https://www.topuniversities.com/universities/national-university-singapore-nus/duke-nus-medical-school
2,Universidad Peruana Cayetano Heredia (UPCH),https://www.topuniversities.com/universities/universidad-peruana-cayetano-heredia-upch
3,"Trinity College Dublin, The University of Dublin",https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin
4,Universitat Internacional de Catalunya,https://www.topuniversities.com/universities/universitat-internacional-de-catalunya
5,Southern University of Science and Technology (SUSTech),https://www.topuniversities.com/universities/southern-university-science-technology-sustech
6,Prince Mohammad Bin Fahd university,https://www.topuniversities.com/universities/prince-mohammad-bin-fahd-university
7,American University of Ras Al Khaimah,https://www.topuniversities.com/universities/american-university-ras-al-khaimah
8,ESMT Berlin,https://www.topuniversities.com/universities/esmt-berlin
9,Prince Sattam Bin Abdulaziz University,https://www.topuniversities.com/universities/prince-sattam-bin-abdulaziz-university
10,Aalto University,https://www.topuniversities.com/universities/aalto-university
1,Universidad del Pacífico,https://www.topuniversities.com/universities/universidad-del-pacifico
2,Duke-NUS Medical School,https://www.topuniversities.com/universities/national-university-singapore-nus/duke-nus-medical-school
3,Management and Science University,https://www.topuniversities.com/universities/management-science-university
4,UCL,https://www.topuniversities.com/universities/ucl
5,Al-Farabi Kazakh National University,https://www.topuniversities.com/universities/al-farabi-kazakh-national-university
6,Università di Padova,https://www.topuniversities.com/universities/universita-di-padova
7,Politecnico di Torino,https://www.topuniversities.com/universities/politecnico-di-torino
8,University of Liverpool,https://www.topuniversities.com/universities/university-liverpool
9,Effat University,https://www.topuniversities.com/universities/effat-university
10,Drexel University - College of Engineering,https://www.topuniversities.com/universities/drexel-university/drexel-university-college-engineering
1,Loughborough University,https://www.topuniversities.com/universities/loughborough-university
2,London Business School,https://www.topuniversities.com/universities/london-business-school
3,Curtin University,https://www.topuniversities.com/universities/curtin-university
