No.,University,URL
4,Zurich University of Applied Sciences (ZHAW),https://www.topuniversities.com/universities/zurich-university-applied-sciences-zhaw
5,Universidad Nacional de San Antonio Abad del Cusco,https://www.topuniversities.com/universities/universidad-nacional-de-san-antonio-abad-del-cusco
6,University of Trinidad and Tobago,https://www.topuniversities.com/universities/university-trinidad-tobago
7,Texas State University,https://www.topuniversities.com/universities/texas-state-university
8,Ostfold University College ,https://www.topuniversities.com/universities/ostfold-university-college
9,Inner Mongolia University,https://www.topuniversities.com/universities/inner-mongolia-university
10,University College of Boras,https://www.topuniversities.com/universities/university-college-boras
1,The Cyprus Institute of Marketing,https://www.topuniversities.com/universities/cyprus-institute-marketing
2,Dania Danish Academy of Business and Technology ,https://www.topuniversities.com/universities/dania-danish-academy-business-technology
3,Wisconsin School of Business,https://www.topuniversities.com/universities/university-wisconsin-madison/wisconsin-school-business
4,Mokpo National University ,https://www.topuniversities.com/universities/mokpo-national-university
5,University of Zalingei,https://www.topuniversities.com/universities/university-zalingei
6,Clarkson's David D. Reh School of Business,https://www.topuniversities.com/universities/clarksons-david-d-reh-school-business
7,Belarusian State University,https://www.topuniversities.com/universities/belarusian-state-university
8,INSEAD Singapore,https://www.topuniversities.com/universities/insead-singapore
9,Academy of Public Administration under the President of the Republic of Kazakhstan,https://www.topuniversities.com/universities/academy-public-administration-under-president-republic-kazakhstan
10,Chopin University of Music,https://www.topuniversities.com/universities/chopin-university-music
1,Universidad Ricardo Palma ,https://www.topuniversities.com/universities/universidad-ricardo-palma
2,Minia University,https://www.topuniversities.com/universities/minia-university
3,New Mexico Highlands University,https://www.topuniversities.com/universities/new-mexico-highlands-university
4,Yamagata University ,https://www.topuniversities.com/universities/yamagata-university
5,Suliman S. Olayan School of Business,https://www.topuniversities.com/universities/american-university-beirut-aub/suliman-s-olayan-school-business
6,Sonoma State University,https://www.topuniversities.com/universities/sonoma-state-university
7,Shiraz University of Medical Sciences,https://www.topuniversities.com/universities/shiraz-university-medical-sciences
8,Dostoevsky Omsk State University,https://www.topuniversities.com/universities/dostoevsky-omsk-state-university
9,Ithaca College,https://www.topuniversities.com/universities/ithaca-college
10,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",https://www.topuniversities.com/universities/pontificia-universidade-catolica-do-rio-grande-do-sul-pucrs
1,Universidad Anáhuac México,https://www.topuniversities.com/universities/universidad-anahuac-mexico
2,Institut Catholique de Paris,https://www.topuniversities.com/universities/institut-catholique-de-paris
3,Universidad Nacional de Mar del Plata,https://www.topuniversities.com/universities/universidad-nacional-de-mar-del-plata
4,University of Zawia,https://www.topuniversities.com/universities/university-zawia
5,Fordham University Graduate School of Business,https://www.topuniversities.com/universities/fordham-university-graduate-school-business
6,Fachhochschule für Wirtschaft Berlin ,https://www.topuniversities.com/universities/fachhochschule-fur-wirtschaft-berlin
7,China University of Petroleum (East China),https://www.topuniversities.com/universities/china-university-petroleum-east-china
8,Case Western Reserve University,https://www.topuniversities.com/universities/case-western-reserve-university
9,Anton Bruckner University ,https://www.topuniversities.com/universities/anton-bruckner-university
10,Bryn Mawr College,https://www.topuniversities.com/universities/bryn-mawr-college
1,"National University of Science and Technology (NUST), Zimbabwe",https://www.topuniversities.com/universities/national-university-science-technology-nust-zimbabwe
2,Universidade de Ribeirão Preto,https://www.topuniversities.com/universities/universidade-de-ribeirao-preto
3,Universidad Nacional de Quilmes,https://www.topuniversities.com/universities/universidad-nacional-de-quilmes
4,Jose Rizal University,https://www.topuniversities.com/universities/jose-rizal-university
5,Sungkyunkwan University (SKKU),https://www.topuniversities.com/universities/sungkyunkwan-universityskku
6,Harare Institute of Technology,https://www.topuniversities.com/universities/hong-kong
7,Birmingham Newman University,https://www.topuniversities.com/universities/birmingham-newman-university
8,"The University of Newcastle, Australia (UON)",https://www.topuniversities.com/universities/university-newcastle-australia-uon
9,Arizona State University Online,https://www.topuniversities.com/universities/arizona-state-university/arizona-state-university-online
10,Nyenrode Business University,https://www.topuniversities.com/universities/nyenrode-business-university
1,Universidade Federal de Lavras,https://www.topuniversities.com/universities/universidade-federal-de-lavras
2, University of Dundee,https://www.topuniversities.com/universities/university-dundee
3,Savitribai Phule Pune University,https://www.topuniversities.com/universities/savitribai-phule-pune-university
4,College of Management,https://www.topuniversities.com/universities/university-massachusetts-boston/college-management
5,University of New Haven,https://www.topuniversities.com/universities/university-new-haven
6,Université Nancy 2,https://www.topuniversities.com/universities/universite-nancy-2
7,University of International Business and Economics,https://www.topuniversities.com/universities/university-international-business-economics
